                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.61945,                0.78859,                0.35986,                0.88774,                0.86009,                  0.814,                0.85823,                0.73387,                 0.8579,                0.81239,                 0.8481,                0.66526,                0.65435,                0.84764,                0.35827,                0.88732,             0.00010229,             0.00010229,             0.00010229
                     70,                0.62199,                0.77816,                0.35972,                0.88733,                0.92275,                0.81239,                0.85165,                0.73322,                0.91452,                0.80142,                0.83975,                0.65492,                0.65022,                0.84552,                0.36104,                0.88535,              9.919e-05,              9.919e-05,              9.919e-05
                     71,                0.61202,                0.77868,                0.35691,                0.88221,                0.89026,                0.80613,                0.85078,                0.73629,                0.87955,                0.79269,                0.83167,                 0.6496,                0.65053,                0.84099,                0.35835,                0.88461,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     72,                 0.6121,                0.77678,                0.35516,                 0.8831,                0.93094,                0.79852,                0.85138,                0.73373,                0.91617,                0.79197,                0.83805,                0.65522,                0.65094,                0.84396,                  0.359,                0.88468,             9.2992e-05,             9.2992e-05,             9.2992e-05
                     73,                0.60542,                0.77514,                0.34897,                0.88249,                0.88934,                0.81839,                0.84678,                0.72812,                0.90111,                0.78809,                0.83191,                0.65284,                0.64898,                0.84093,                0.35923,                0.88583,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     74,                0.60631,                0.77306,                0.35284,                0.88508,                0.88674,                0.80812,                0.85776,                0.74343,                0.89821,                0.77962,                 0.8419,                0.66045,                0.64695,                 0.8487,                0.35676,                 0.8847,             8.6795e-05,             8.6795e-05,             8.6795e-05
                     75,                0.60424,                0.76944,                 0.3504,                 0.8818,                0.90766,                0.80662,                0.84967,                0.73121,                 0.9129,                0.80191,                0.84035,                 0.6571,                0.64706,                0.84523,                0.35875,                0.88302,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     76,                0.59667,                0.75838,                0.34273,                0.87821,                0.88945,                0.81278,                0.84833,                 0.7313,                 0.9004,                0.79026,                0.83448,                0.65677,                0.64664,                0.85063,                0.35616,                0.87692,             8.0598e-05,             8.0598e-05,             8.0598e-05
                     77,                 0.5942,                0.76445,                0.34123,                0.87951,                 0.8877,                0.81612,                0.85603,                0.73833,                 0.8838,                0.81231,                0.84371,                0.66677,                0.64325,                0.84278,                0.35721,                0.87952,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     78,                0.59762,                0.75474,                0.34229,                0.88063,                0.91756,                0.79712,                0.85191,                0.73497,                0.91452,                0.79477,                0.84067,                0.66164,                0.64491,                 0.8464,                0.35548,                0.88105,               7.44e-05,               7.44e-05,               7.44e-05
                     79,                0.58784,                0.75539,                0.33775,                0.87693,                0.85284,                0.81935,                0.85576,                0.73919,                0.90668,                0.79765,                0.84536,                0.66573,                0.64159,                0.84816,                0.35222,                0.87792,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     80,                0.58742,                0.75734,                0.34098,                0.87875,                0.85092,                0.82182,                0.85961,                0.74149,                0.85256,                 0.8112,                0.84871,                0.66783,                0.64033,                0.84853,                0.35104,                0.87524,             6.8203e-05,             6.8203e-05,             6.8203e-05
                     81,                0.58867,                0.75127,                0.33903,                0.87915,                 0.8685,                0.80954,                 0.8557,                0.74081,                0.85739,                0.79845,                0.84076,                0.66403,                0.63991,                0.84482,                0.35206,                0.87423,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     82,                0.58345,                0.75024,                0.33428,                0.87254,                 0.8889,                0.83482,                0.84804,                0.73376,                0.88182,                  0.824,                 0.8365,                0.66093,                0.63812,                0.83877,                0.35297,                0.87207,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     83,                0.58252,                  0.744,                0.33184,                0.87455,                 0.8832,                0.79278,                0.85575,                 0.7414,                0.87223,                 0.7822,                 0.8412,                0.66556,                0.63743,                0.83999,                0.35129,                0.87298,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     84,                 0.5797,                0.73922,                0.32793,                0.87326,                 0.8684,                0.81761,                0.85776,                0.74428,                0.85991,                0.80553,                0.84765,                0.67085,                0.63712,                0.83918,                0.35078,                0.87352,             5.5808e-05,             5.5808e-05,             5.5808e-05
                     85,                0.57975,                0.73813,                0.32438,                0.87142,                0.86615,                 0.8134,                0.85318,                0.74255,                 0.8542,                 0.8027,                0.84431,                0.66868,                0.63457,                0.84181,                 0.3476,                0.87342,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     86,                0.57824,                0.73652,                0.32598,                0.87115,                0.87869,                0.80477,                0.85914,                0.74629,                0.86717,                0.79309,                0.84579,                0.66443,                0.63437,                0.83828,                 0.3477,                0.87369,             4.9611e-05,             4.9611e-05,             4.9611e-05
